GCXH,XZQHMC,KKMC,FXLX,GCSJ,HPZL,"SUBSTR(HPHM,1,4)||'***'",CLPPXH
320300108805968177,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:24,01,鲁Q70***,-
320300108805968326,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 1:24,01,苏H40***,-
320300108805970304,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 1:28,02,鲁A98***,-
320300108805970310,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 1:28,02,鲁A98***,虹宇牌-未知系列1-未知年款0
320300108805970302,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:28,01,鲁Q11***,-
320300108805970485,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:29,01,鲁Q60***,-
320300108805970639,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 1:29,02,苏C9Y***,-
320300108805970942,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 1:29,01,鲁PAN***,-
320300108805970906,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 1:29,-,鲁21X***,-
320300108805970913,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:29,01,苏CMY***,-
320300108805971270,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:30,01,苏CGF***,-
320300108805971365,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 1:30,01,鲁Q63***,-
320300108805971433,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 1:30,01,豫NC1***,白云牌-未知系列1-未知年款0
320300108805971464,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:31,01,苏0SD***,-
320300108805971561,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 1:31,01,浙A2U***,-
320300108805972062,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 1:32,-,贵AR2***,-
320300108805972207,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:33,01,鲁UP2***,-
320300108805972489,新沂市,徐州市新沂市S323连徐线K10阿湖卡口-323省道连云港交界市际卡口,1,2023/12/1 1:33,01,苏GK3***,-
320300108805972833,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:34,01,鲁H75***,-
320300108805973819,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:36,01,苏CRV***,-
320300108805974023,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 1:37,-,L***,-
320300108805974122,沛县,徐州市沛县S253郑沛龙线K0江苏徐州-S253-苏鲁界省际卡口,1,2023/12/1 1:37,02,苏CE3***,-
320300108805974568,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 1:38,01,闽AV8***,-
320300108805974573,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 1:38,01,闽AV8***,-
320300108805975108,丰县,徐州市丰县G518518国道K358马楼公路站省际卡口,1,2023/12/1 1:39,-,鲁Q66***,-
320300108805975080,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 1:39,-,京W3Z***,-
320300108805975174,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 1:39,01,鄂APM***,-
320300108805975173,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 1:39,01,鄂APM***,-
320300108805975351,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:40,01,鲁Q62***,-
320300108805975479,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:40,01,鲁Q09***,-
320300108805975944,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:41,01,鲁Q60***,-
320300108805976208,铜山县,徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口,1,2023/12/1 1:42,02,苏C67***,-
320300108805977482,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:45,01,鲁AD8***,-
320300108805978062,铜山县,徐州市铜山县G311徐州-西峡K207江苏徐州-G311-苏皖界省际卡口,1,2023/12/1 1:46,52,苏CD9***,-
320300108805978577,丰县,徐州市丰县鹿梁路K19丰县梁寨检查站市际卡口,1,2023/12/1 1:48,01,苏CHY***,-
320300108805979041,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 1:49,01,浙A3V***,-
320300108805979046,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 1:49,01,浙A3V***,-
320300108805979548,丰县,徐州市丰县G518518国道K358马楼公路站省际卡口,1,2023/12/1 1:50,01,鲁DH1***,-
320300108805979889,邳州市,徐州市邳州市S250宿邳线K1江苏徐州-S250-苏鲁界省际卡口,1,2023/12/1 1:51,01,鲁QC9***,-
320300108805980025,铜山县,徐州市铜山县G104北京-福州K744江苏徐州-G104-苏鲁界省际卡口,1,2023/12/1 1:51,02,苏CY5***,-
320300108805980455,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 1:52,01,赣AF6***,-
320300108805981137,睢宁县,徐州市睢宁县S325淮宿线K63(325省道)63K+100M东侧-向西卡口市际卡口,2,2023/12/1 1:54,01,冀E23***,-
320300108805982303,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 1:57,-,京BP1***,-
320300108805982698,高速五大队,G3京台高速K731江苏高速五大队江苏徐州-G3-苏鲁界省际卡口,1,2023/12/1 1:58,02,苏UM2***,-
320300108805982748,邳州市,徐州市邳州市S251枣睢线K5江苏徐州-S251-苏鲁界省际卡口,1,2023/12/1 1:58,02,苏CH6***,-
